Thresh%	Bins	Bytes	pSNR
99.859	106	8252	21.59
99.859	108	8252	21.62
99.859	110	8252	21.60
99.859	112	8252	21.60
99.859	114	8252	21.61
99.859	116	8252	21.61
99.859	118	8252	21.60
99.859	120	8252	21.61
99.859	122	8252	21.61
99.859	124	8252	21.60
99.859	126	8252	21.62
99.859	128	8252	21.60
99.859	130	8252	21.60
99.859	132	8252	21.61
99.859	134	8252	21.61
99.859	136	8252	21.60
99.859	138	8252	21.60
99.859	140	8256	21.60
99.859	142	8256	21.62
99.859	144	8252	21.60
99.859	146	8256	21.61
99.859	148	8256	21.61
99.859	150	8256	21.60
99.859	152	8252	21.62
99.859	154	8256	21.60
99.859	156	8256	21.60
99.859	158	8256	21.62
99.859	160	8256	21.61
99.859	162	8256	21.59
99.859	164	8256	21.61
99.859	166	8256	21.61
99.859	168	8256	21.60
99.859	170	8256	21.60
99.859	172	8256	21.60
99.859	174	8256	21.61
99.859	176	8256	21.61
99.859	178	8256	21.60
99.859	180	8256	21.60
99.859	182	8256	21.61
99.859	184	8256	21.60
99.859	186	8256	21.61
99.859	188	8256	21.61
99.859	190	8256	21.60
99.859	192	8256	21.60
99.859	194	8260	21.61
99.859	196	8260	21.61
99.859	198	8256	21.61
99.859	200	8260	21.61
99.852	10	8216	17.50
99.852	12	8220	18.75
99.852	14	8220	20.49
99.852	16	8224	20.56
99.852	18	8224	20.88
99.852	20	8228	21.20
99.852	22	8228	21.33
99.852	24	8232	21.16
99.852	26	8232	21.30
99.852	28	8236	21.53
99.852	30	8236	21.53
99.852	32	8236	21.54
99.852	34	8236	21.60
99.852	36	8236	21.64
99.852	38	8240	21.59
99.852	40	8240	21.66
99.852	42	8240	21.63
99.852	44	8240	21.65
99.852	46	8240	21.68
99.852	48	8244	21.68
99.852	50	8244	21.68
99.852	52	8244	21.74
99.852	54	8244	21.70
99.852	56	8244	21.70
99.852	58	8244	21.69
99.852	60	8248	21.70
99.852	62	8248	21.74
99.852	64	8248	21.71
99.852	66	8248	21.75
99.852	68	8248	21.74
99.852	70	8248	21.72
99.852	72	8248	21.72
99.852	74	8248	21.72
99.852	76	8248	21.75
99.852	78	8248	21.73
99.852	80	8248	21.72
99.852	82	8252	21.74
99.852	84	8252	21.74
99.852	86	8252	21.75
99.852	88	8252	21.74
99.852	90	8252	21.74
99.852	92	8252	21.73
99.852	94	8252	21.74
99.852	96	8252	21.73
99.852	98	8252	21.74
99.852	100	8252	21.74
99.852	102	8252	21.75
99.852	104	8252	21.74
99.852	106	8256	21.74
99.852	108	8256	21.75
99.852	110	8252	21.74
99.852	112	8256	21.74
99.852	114	8252	21.76
99.852	116	8256	21.74
99.852	118	8256	21.75
99.852	120	8252	21.76
99.852	122	8256	21.74
99.852	124	8256	21.74
99.852	126	8256	21.76
99.852	128	8256	21.74
99.852	130	8256	21.76
99.852	132	8256	21.75
99.852	134	8256	21.75
99.852	136	8256	21.74
99.852	138	8260	21.76
99.852	140	8256	21.76
99.852	142	8256	21.75
99.852	144	8256	21.74
99.852	146	8256	21.75
99.852	148	8256	21.75
99.852	150	8260	21.75
99.852	152	8260	21.75
99.852	154	8260	21.74
99.852	156	8256	21.76
99.852	158	8260	21.76
99.852	160	8260	21.75
99.852	162	8256	21.75
99.852	164	8256	21.75
99.852	166	8260	21.75
99.852	168	8260	21.75
99.852	170	8260	21.75
99.852	172	8260	21.74
99.852	174	8260	21.75
99.852	176	8260	21.75
99.852	178	8260	21.75
99.852	180	8260	21.76
99.852	182	8260	21.75
99.852	184	8260	21.75
99.852	186	8260	21.75
99.852	188	8260	21.74
99.852	190	8260	21.76
99.852	192	8260	21.76
99.852	194	8260	21.75
99.852	196	8260	21.74
99.852	198	8260	21.74
99.852	200	8260	21.75
99.845	10	8220	16.44
99.845	12	8220	18.86
99.845	14	8224	20.26
99.845	16	8224	20.02
99.845	18	8228	20.95
99.845	20	8228	20.93
99.845	22	8232	21.15
99.845	24	8232	21.35
99.845	26	8236	21.41
99.845	28	8236	21.54
99.845	30	8236	21.51
99.845	32	8240	21.60
99.845	34	8240	21.59
99.845	36	8240	21.61
99.845	38	8240	21.64
99.845	40	8244	21.70
99.845	42	8244	21.70
99.845	44	8244	21.71
99.845	46	8244	21.77
99.845	48	8244	21.74
99.845	50	8244	21.75
99.845	52	8248	21.74
99.845	54	8248	21.75
99.845	56	8248	21.77
99.845	58	8248	21.77
99.845	60	8248	21.76
99.845	62	8248	21.78
99.845	64	8248	21.75
99.845	66	8248	21.78
99.845	68	8248	21.76
99.845	70	8252	21.78
99.845	72	8252	21.77
99.845	74	8252	21.80
99.845	76	8252	21.78
99.845	78	8252	21.78
99.845	80	8252	21.80
99.845	82	8252	21.78
99.845	84	8252	21.79
99.845	86	8252	21.79
99.845	88	8252	21.76
99.845	90	8256	21.80
99.845	92	8256	21.80
99.845	94	8256	21.79
99.845	96	8256	21.79
99.845	98	8256	21.80
99.845	100	8256	21.80
99.845	102	8256	21.78
99.845	104	8256	21.80
99.845	106	8256	21.80
99.845	108	8256	21.79
99.845	110	8256	21.81
99.845	112	8256	21.80
99.845	114	8260	21.80
99.845	116	8260	21.80
99.845	118	8260	21.80
