Thresh%	Bins	bytes	pSNR
99.878	90	8423380	25.10
99.878	92	8423728	25.19
99.878	94	8424060	25.21
99.878	96	8424388	25.07
99.878	98	8424724	25.17
99.878	100	8425056	25.20
99.878	102	8425372	25.21
99.878	104	8425684	25.14
99.878	106	8426008	25.18
99.878	108	8426312	25.18
99.878	110	8426564	25.20
99.878	112	8426828	25.24
99.878	114	8427092	25.18
99.878	116	8427344	25.19
99.878	118	8427584	25.25
99.878	120	8427828	25.24
99.878	122	8428076	25.15
99.878	124	8428336	25.24
99.878	126	8428572	25.24
99.878	128	8428812	25.23
99.878	130	8429052	25.18
99.878	132	8429300	25.23
99.878	134	8429544	25.24
99.878	136	8429748	25.25
99.878	138	8429936	25.21
99.878	140	8430128	25.23
99.878	142	8430320	25.23
99.878	144	8430508	25.26
99.878	146	8430688	25.27
99.878	148	8430880	25.23
99.878	150	8431060	25.26
99.878	152	8431236	25.26
99.878	154	8431408	25.27
99.878	156	8431580	25.21
99.878	158	8431756	25.25
99.878	160	8431924	25.26
99.878	162	8432100	25.26
99.878	164	8432268	25.24
99.878	166	8432444	25.26
99.878	168	8432612	25.26
99.878	170	8432776	25.28
99.878	172	8432948	25.24
99.878	174	8433112	25.25
99.878	176	8433280	25.25
99.878	178	8433452	25.27
99.878	180	8433624	25.28
99.878	182	8433788	25.25
99.878	184	8433956	25.27
99.878	186	8434112	25.28
99.878	188	8434276	25.28
99.878	190	8434440	25.26
99.878	192	8434608	25.27
99.878	194	8434768	25.27
99.878	196	8434924	25.27
99.878	198	8435068	25.26
99.878	200	8435212	25.26
99.872	10	8404800	8.47
99.872	12	8405016	16.74
99.872	14	8405344	18.29
99.872	16	8405788	19.42
99.872	18	8406300	21.80
99.872	20	8406864	22.01
99.872	22	8407476	22.39
99.872	24	8408116	23.21
99.872	26	8408808	23.79
99.872	28	8409536	23.36
99.872	30	8410248	23.22
99.872	32	8410956	24.26
99.872	34	8411656	24.50
99.872	36	8412304	23.85
99.872	38	8412956	24.38
99.872	40	8413608	24.68
99.872	42	8414236	24.66
99.872	44	8414852	24.81
99.872	46	8415496	24.66
99.872	48	8416132	24.75
99.872	50	8416752	24.76
99.872	52	8417308	24.98
99.872	54	8417732	24.73
99.872	56	8418164	24.78
99.872	58	8418580	25.02
99.872	60	8418996	25.09
99.872	62	8419424	24.82
99.872	64	8419844	25.05
99.872	66	8420256	25.06
99.872	68	8420668	25.12
99.872	70	8421088	24.88
99.872	72	8421488	25.06
99.872	74	8421876	25.08
99.872	76	8422268	25.13
99.872	78	8422656	25.17
99.872	80	8423036	25.04
99.872	82	8423428	25.12
99.872	84	8423800	25.19
99.872	86	8424168	25.18
99.872	88	8424528	25.07
99.872	90	8424892	25.12
99.872	92	8425248	25.19
99.872	94	8425580	25.22
99.872	96	8425924	25.08
99.872	98	8426268	25.18
99.872	100	8426604	25.21
99.872	102	8426924	25.22
99.872	104	8427276	25.15
99.872	106	8427592	25.19
99.872	108	8427924	25.20
99.872	110	8428232	25.21
99.872	112	8428508	25.25
99.872	114	8428768	25.19
99.872	116	8429024	25.20
99.872	118	8429288	25.26
99.872	120	8429552	25.25
99.872	122	8429816	25.17
99.872	124	8430072	25.25
99.872	126	8430312	25.25
99.872	128	8430568	25.24
99.872	130	8430820	25.18
99.872	132	8431072	25.24
99.872	134	8431324	25.24
99.872	136	8431564	25.26
99.872	138	8431788	25.22
99.872	140	8431984	25.24
99.872	142	8432184	25.24
99.872	144	8432372	25.28
99.872	146	8432572	25.28
99.872	148	8432764	25.24
99.872	150	8432948	25.24
99.872	152	8433124	25.27
99.872	154	8433304	25.28
99.872	156	8433492	25.21
99.872	158	8433668	25.26
99.872	160	8433852	25.27
99.872	162	8434036	25.27
99.872	164	8434216	25.25
99.872	166	8434388	25.26
99.872	168	8434560	25.27
99.872	170	8434736	25.27
99.872	172	8434912	25.25
99.872	174	8435088	25.26
99.872	176	8435272	25.26
99.872	178	8435452	25.29
99.872	180	8435628	25.29
99.872	182	8435800	25.26
99.872	184	8435964	25.28
99.872	186	8436132	25.29
99.872	188	8436312	25.29
99.872	190	8436480	25.25
99.872	192	8436652	25.28
99.872	194	8436816	25.28
99.872	196	8436976	25.28
99.872	198	8437136	25.27
99.872	200	8437292	25.27
99.866	10	8405596	8.48
99.866	12	8405816	16.60
99.866	14	8406148	18.30
99.866	16	8406604	19.36
99.866	18	8407124	21.80
99.866	20	8407700	21.91
99.866	22	8408324	22.40
99.866	24	8408980	23.17
99.866	26	8409696	23.79
99.866	28	8410440	23.35
99.866	30	8411172	23.23
99.866	32	8411896	24.25
99.866	34	8412628	24.51
99.866	36	8413296	24.47
99.866	38	8413968	24.37
99.866	40	8414632	24.69
99.866	42	8415288	24.67
99.866	44	8415928	24.83
99.866	46	8416600	24.66
99.866	48	8417248	24.75
99.866	50	8417888	24.76
99.866	52	8418516	24.98
99.866	54	8419012	24.77
99.866	56	8419448	24.82
99.866	58	8419880	25.04
99.866	60	8420320	25.10
99.866	62	8420772	24.80
99.866	64	8421200	25.05
99.866	66	8421628	25.06
99.866	68	8422052	25.12
99.866	70	8422480	25.10
99.866	72	8422904	25.06
99.866	74	8423316	25.09
99.866	76	8423712	25.14
99.866	78	8424108	25.19
99.866	80	8424528	25.06
99.866	82	8424912	25.13
99.866	84	8425300	25.20
99.866	86	8425704	25.20
99.866	88	8426100	25.08
99.866	90	8426468	25.13
99.866	92	8426828	25.20
99.866	94	8427172	25.22
99.866	96	8427540	25.08
99.866	98	8427892	25.19
99.866	100	8428244	25.21
99.866	102	8428584	25.23
99.866	104	8428928	25.24
99.866	106	8429268	25.20
99.866	108	8429604	25.22
99.866	110	8429932	25.22
99.866	112	8430240	25.26
99.866	114	8430520	25.19
99.866	116	8430792	25.20
99.866	118	8431076	25.26
99.866	120	8431356	25.26
99.866	122	8431608	25.18
99.866	124	8431872	25.26
99.866	126	8432136	25.26
99.866	128	8432400	25.25
99.866	130	8432656	25.18
99.866	132	8432920	25.25
99.866	134	8433184	25.25
99.866	136	8433428	25.27
99.866	138	8433684	25.28
99.866	140	8433936	25.25
99.866	142	8434140	25.25
99.866	144	8434340	25.28
99.866	146	8434532	25.28
99.866	148	8434736	25.25
99.866	150	8434928	25.25
99.866	152	8435116	25.28
99.866	154	8435320	25.29
99.866	156	8435512	25.23
99.866	158	8435704	25.27
99.866	160	8435888	25.28
99.866	162	8436068	25.28
99.866	164	8436248	25.26
99.866	166	8436432	25.27
99.866	168	8436624	25.28
99.866	170	8436804	25.28
99.866	172	8437000	25.30
99.866	174	8437176	25.27
99.866	176	8437372	25.27
99.866	178	8437556	25.29
99.866	180	8437740	25.30
99.866	182	8437908	25.26
99.866	184	8438088	25.29
99.866	186	8438260	25.29
99.866	188	8438444	25.30
99.866	190	8438620	25.26
99.866	192	8438800	25.29
99.866	194	8438976	25.29
99.866	196	8439152	25.29
99.866	198	8439320	25.28
99.866	200	8439472	25.28
99.859	10	8406444	8.47
99.859	12	8406664	16.46
99.859	14	8407004	18.31
99.859	16	8407472	19.29
99.859	18	8408008	21.81
99.859	20	8408592	21.79
99.859	22	8409232	22.41
99.859	24	8409900	23.15
99.859	26	8410636	23.81
99.859	28	8411396	23.39
99.859	30	8412144	23.25
99.859	32	8412896	24.26
99.859	34	8413652	24.53
99.859	36	8414348	24.47
99.859	38	8415048	24.35
99.859	40	8415724	24.69
99.859	42	8416384	24.67
99.859	44	8417068	24.84
99.859	46	8417748	24.66
99.859	48	8418428	24.75
99.859	50	8419072	24.75
99.859	52	8419760	24.99
99.859	54	8420348	24.79
99.859	56	8420792	24.82
99.859	58	8421260	25.05
99.859	60	8421716	25.11
99.859	62	8422160	24.81
99.859	64	8422620	25.06
99.859	66	8423056	25.06
99.859	68	8423508	25.12
99.859	70	8423952	25.11
99.859	72	8424384	25.07
99.859	74	8424812	25.11
99.859	76	8425228	25.13
99.859	78	8425656	25.20
99.859	80	8426068	25.07
99.859	82	8426472	25.14
99.859	84	8426884	25.21
99.859	86	8427292	25.21
99.859	88	8427704	25.09
99.859	90	8428100	25.14
99.859	92	8428484	25.21
99.859	94	8428856	25.24
99.859	96	8429220	25.07
99.859	98	8429588	25.20
99.859	100	8429964	25.22
99.859	102	8430328	25.24
99.859	104	8430676	25.25
99.859	106	8431024	25.21
99.859	108	8431364	25.22
99.859	110	8431704	25.23
99.859	112	8432056	25.27
99.859	114	8432380	25.20
99.859	116	8432664	25.21
99.859	118	8432952	25.27
99.859	120	8433228	25.27
99.859	122	8433504	25.19
99.859	124	8433776	25.26
99.859	126	8434052	25.28
99.859	128	8434316	25.27
99.859	130	8434596	25.19
99.859	132	8434872	25.26
99.859	134	8435132	25.26
99.859	136	8435380	25.28
99.859	138	8435648	25.30
99.859	140	8435900	25.26
99.859	142	8436148	25.26
99.859	144	8436388	25.29
99.859	146	8436604	25.29
99.859	148	8436804	25.25
99.859	150	8437020	25.26
99.859	152	8437220	25.29
99.859	154	8437420	25.30
99.859	156	8437624	25.24
99.859	158	8437812	25.29
99.859	160	8438004	25.29
99.859	162	8438196	25.30
99.859	164	8438388	25.27
99.859	166	8438588	25.28
99.859	168	8438788	25.29
99.859	170	8438984	25.29
99.859	172	8439176	25.31
99.859	174	8439372	25.28
99.859	176	8439560	25.28
99.859	178	8439752	25.30
99.859	180	8439940	25.31
99.859	182	8440116	25.27
99.859	184	8440304	25.30
99.859	186	8440496	25.30
99.859	188	8440676	25.31
99.859	190	8440860	25.26
99.859	192	8441044	25.30
99.859	194	8441228	25.30
99.859	196	8441412	25.30
99.859	198	8441588	25.31
99.859	200	8441764	25.29
99.852	10	8407332	7.81
99.852	12	8407556	16.45
99.852	14	8407904	18.32
99.852	16	8408380	17.86
99.852	18	8408928	21.77
99.852	20	8409520	21.83
99.852	22	8410176	21.78
99.852	24	8410864	22.10
99.852	26	8411628	23.84
99.852	28	8412396	23.01
99.852	30	8413164	23.22
99.852	32	8413948	24.26
99.852	34	8414724	24.30
99.852	36	8415448	24.49
99.852	38	8416164	24.36
99.852	40	8416864	24.53
99.852	42	8417560	24.69
99.852	44	8418260	24.66
99.852	46	8418968	24.56
99.852	48	8419652	24.77
99.852	50	8420348	24.77
99.852	52	8421036	24.91
99.852	54	8421700	24.79
99.852	56	8422224	24.83
99.852	58	8422704	24.99
99.852	60	8423168	25.11
99.852	62	8423640	24.82
99.852	64	8424104	24.80
99.852	66	8424572	25.07
99.852	68	8425024	25.13
99.852	70	8425492	25.07
99.852	72	8425952	25.08
99.852	74	8426396	25.12
99.852	76	8426848	25.10
99.852	78	8427260	25.21
99.852	80	8427692	25.08
99.852	82	8428120	25.12
99.852	84	8428544	25.15
99.852	86	8428976	25.22
99.852	88	8429392	25.08
99.852	90	8429804	25.14
99.852	92	8430216	25.22
99.852	94	8430612	25.21
99.852	96	8430996	25.08
99.852	98	8431404	25.22
99.852	100	8431780	25.21
99.852	102	8432140	25.25
99.852	104	8432520	25.24
99.852	106	8432876	25.21
99.852	108	8433228	25.23
99.852	110	8433596	25.24
99.852	112	8433964	25.27
99.852	114	8434316	25.21
99.852	116	8434620	25.22
99.852	118	8434920	25.27
99.852	120	8435208	25.28
99.852	122	8435492	25.20
99.852	124	8435772	25.21
99.852	126	8436056	25.29
99.852	128	8436344	25.28
99.852	130	8436624	25.29
99.852	132	8436900	25.27
99.852	134	8437176	25.27
99.852	136	8437444	25.28
99.852	138	8437724	25.30
99.852	140	8437992	25.26
99.852	142	8438264	25.26
99.852	144	8438536	25.28
99.852	146	8438788	25.31
99.852	148	8439004	25.25
99.852	150	8439212	25.27
99.852	152	8439424	25.30
99.852	154	8439628	25.30
99.852	156	8439844	25.24
99.852	158	8440040	25.29
99.852	160	8440252	25.30
99.852	162	8440448	25.31
99.852	164	8440656	25.30
99.852	166	8440868	25.29
99.852	168	8441072	25.30
99.852	170	8441264	25.30
99.852	172	8441472	25.31
99.852	174	8441672	25.29
99.852	176	8441868	25.29
99.852	178	8442064	25.31
99.852	180	8442256	25.32
99.852	182	8442452	25.28
99.852	184	8442656	25.28
99.852	186	8442844	25.31
99.852	188	8443040	25.32
99.852	190	8443232	25.26
99.852	192	8443420	25.31
99.852	194	8443612	25.31
99.852	196	8443800	25.31
99.852	198	8443980	25.32
99.852	200	8444168	25.30
99.845	10	8408264	7.81
99.845	12	8408492	16.45
99.845	14	8408852	18.33
99.845	16	8409332	17.87
99.845	18	8409896	21.74
99.845	20	8410500	21.85
99.845	22	8411176	21.72
99.845	24	8411884	22.12
99.845	26	8412668	23.86
99.845	28	8413436	23.03
99.845	30	8414244	23.23
99.845	32	8415048	24.28
99.845	34	8415836	24.32
99.845	36	8416596	24.56
